type	a	b	c	d	dir	exp_a	DP_rows	RR_rows	OR	MS	Dice	PMI	chi2_signed	G_signed	t	p_fisher_1
hosted	9	70056	66	2498610	1	2.04570059807509	0.000102038162725045	4.86303497401763	4.86353125291974	0.000128452151573539	0.000256629597946963	2.13732998894941	24.3045592121021	13.4438685429198	2.3181038615713	0.000206493974574729
hosts	9	70056	37	2498639	1	1.25469636681939	0.000113644309340292	8.67460292662605	8.67558887253132	0.000128452151573539	0.000256735747600234	2.84258672338827	49.1537215039481	21.4017628600565	2.58177240055964	3.68529844207988e-06
imf	9	70056	58	2498618	1	1.82749253428041	0.000105239858343044	5.53379841870972	5.53438086968849	0.000128452151573539	0.00025665887184167	2.30005948898751	28.9406383672056	15.1728046177925	2.39084001025774	8.54591068880639e-05
macron	9	70056	38	2498638	1	1.28197237479372	0.000113244097388042	8.44632390224115	8.4472805214475	0.000128452151573539	0.000256732085805568	2.81155982776765	47.7696774965053	21.0268229999926	2.57268038197384	4.44737614757607e-06
maharaj	9	70056	2	2498674	1	0.30003608771768	0.000127651727669039	160.480154142582	160.500642343268	0.000128452151573539	0.000256863976254352	4.90671706080799	259.34246856729	54.5121255996277	2.89999305106282	4.37094804794924e-13
nato	9	70056	7	2498669	1	0.436416127589352	0.000125650667907789	45.8514726121663	45.8572346204669	0.000128452151573539	0.000256845650033533	4.36614867944529	172.752124541595	43.2896503481811	2.8545329581338	8.03053179510016e-11
ngos	9	70056	25	2498651	1	0.927384271127373	0.000118446852767291	12.8384123314066	12.8399331963001	0.000128452151573539	0.000256779697285268	3.27868583819495	72.2412004852878	26.916479642421	2.6908766235893	2.35830354688993e-07
resistance	9	70056	36	2498640	1	1.22742035884505	0.000114044521292542	8.91556411903233	8.91658102089757	0.000128452151573539	0.000256739409499358	2.87429558311561	50.6005245851964	21.7872816940166	2.59086441914545	3.03810509005853e-06
schwab	9	70056	1	2498675	1	0.272760079743345	0.000128051939621289	320.960308285164	321.00141315519	0.000128452151573539	0.000256867641812344	5.04422058455792	287.068199086041	58.3862281846398	2.90908506964863	8.14903700074865e-14
snake	9	70056	9	2498667	1	0.490968143538021	0.00012485024400329	35.6622564761293	35.6667094895512	0.000128452151573539	0.000256838320277385	4.19622367800297	151.607400331684	40.3770124319019	2.83634892096219	3.24780313754047e-10
tonight	9	70056	71	2498605	1	2.18208063794676	0.000100037102963795	4.52056772232625	4.52102000492162	0.000128452151573539	0.00025661130515361	2.04422058455792	21.9006408362212	12.4854620975103	2.27264376864227	0.000337553005080204
antibiotic	8	70057	7	2498669	1	0.409140119615018	0.000111378206621841	40.7568645441478	40.7614044889977	0.00011417969028759	0.000228310502283105	4.28933308239446	144.784739870868	37.2882795391067	2.68377842736615	1.65992997125386e-09
bacteria	8	70057	34	2498642	1	1.14559233492205	0.000100572483911093	8.39111917085395	8.3919631829208	0.00011417969028759	0.000228222574065357	2.80390625522421	42.1625855088007	18.6085199474957	2.42340284418166	1.5763489880749e-05
brewing	8	70057	13	2498663	1	0.572796167461025	0.000108976934908341	21.9460039853103	21.9483958666624	0.00011417969028759	0.000228290956824473	3.80390625522421	99.0066816955584	30.4376071812811	2.62591718665849	4.53241245645941e-08
crowd	8	70057	47	2498629	1	1.5001804385884	9.53697285318443e-05	6.07017131508584	6.07075029178368	0.00011417969028759	0.000228180262407302	2.41486396447831	28.9520135916971	14.6064344197524	2.29803682264838	0.000118707711715738
cumberland	8	70057	9	2498667	1	0.463692135563687	0.000110577782717341	31.6997835343372	31.7032892263918	0.00011417969028759	0.000228303986758369	4.10876083675264	125.921758257109	34.6184396875525	2.66449134713026	5.97118743339564e-09
disorder	8	70057	25	2498651	1	0.900108263153039	0.000104174391481342	11.4119220723614	11.4131110381546	0.00011417969028759	0.000228251875945105	3.15182955864452	57.5737683028811	22.4568063858339	2.51019470524315	2.3076935420363e-06
e	8	70057	65	2498611	1	1.99114858212642	8.81659133913459e-05	4.38920079706207	4.38958781914946	0.00011417969028759	0.000228121702928512	2.00639911912296	18.6424066067868	10.7579633450113	2.12445310052538	0.00084985137733673
heath	8	70057	11	2498665	1	0.518244151512356	0.000109777358812841	25.936186528094	25.939034059279	0.00011417969028759	0.000228297471605502	3.94829616455939	111.041734879515	32.373273382037	2.64520426689437	1.76783800931446e-08
judgment	8	70057	31	2498645	1	1.06376431099905	0.000101773119767843	9.20316296158176	9.20409970314495	0.00011417969028759	0.000228232340522652	2.91082145914073	46.4963898238255	19.7637376237639	2.45233346453549	8.83760817393942e-06
kxno	8.5	70057.5	0.5	2498676.5	1	0.245487384296522	0.000121114083582452	606.249950047098	606.323384362845	0.000121314189478492	0.000242597217267214	5.11374205041853	285.342032853458	57.3960733378767	2.83127915363972	2.68973732175937e-12
